cgmDatenum_ 1,cgmDatenum_ 2,cgmDatenum_ 3,cgmDatenum_ 4,cgmDatenum_ 5,cgmDatenum_ 6,cgmDatenum_ 7,cgmDatenum_ 8,cgmDatenum_ 9,cgmDatenum_10,cgmDatenum_11,cgmDatenum_12,cgmDatenum_13,cgmDatenum_14,cgmDatenum_15,cgmDatenum_16,cgmDatenum_17,cgmDatenum_18,cgmDatenum_19,cgmDatenum_20,cgmDatenum_21,cgmDatenum_22,cgmDatenum_23,cgmDatenum_24,cgmDatenum_25,cgmDatenum_26,cgmDatenum_27,cgmDatenum_28,cgmDatenum_29,cgmDatenum_30,cgmDatenum_31,cgmDatenum_32,cgmDatenum_33,cgmDatenum_34,cgmDatenum_35,cgmDatenum_36,cgmDatenum_37,cgmDatenum_38,cgmDatenum_39,cgmDatenum_40,cgmDatenum_41,cgmDatenum_42
737218.604351852,737218.60087963,737218.597407407,737218.593935185,737218.590462963,737218.586990741,737218.583518518,737218.580046296,737218.576574074,737218.573101852,737218.56962963,737218.566157407,737218.562685185,737218.559212963,737218.555740741,737218.552268518,737218.548796296,737218.545324074,737218.541851852,737218.53837963,737218.534907407,737218.531435185,737218.527962963,737218.524490741,737218.521018518,737218.517546296,737218.514074074,737218.510601852,737218.50712963,737218.503657407,737218.500185185,,,,,,,,,,,
737216.597268519,737216.593796296,737216.590324074,737216.586851852,737216.58337963,737216.579895833,737216.576423611,737216.572951389,737216.569479167,737216.566006944,737216.562534722,737216.5590625,737216.555590278,737216.552118056,737216.548645833,737216.545173611,737216.541701389,737216.538229167,737216.534756944,737216.531284722,737216.5278125,737216.524340278,737216.520868056,737216.517395833,737216.513923611,737216.510451389,737216.506979167,737216.503506944,737216.500034722,737216.4965625,,,,,,,,,,,,
737214.597152778,737214.593680556,737214.590208333,737214.586736111,737214.583263889,737214.579791667,737214.576319444,737214.572847222,737214.569340278,737214.565868056,737214.562395833,737214.558923611,737214.555451389,737214.551979167,737214.548506944,737214.545034722,737214.5415625,737214.538090278,737214.534618056,737214.531145833,737214.527673611,737214.524201389,737214.520729167,737214.517256944,737214.513784722,737214.5103125,737214.506840278,737214.503368056,737214.499895833,737214.496423611,,,,,,,,,,,,
737210.552361111,737210.548888889,737210.545416667,737210.54193287,737210.538460648,737210.534988426,737210.531516204,737210.528043982,737210.524571759,737210.521099537,737210.517627315,737210.514155093,737210.51068287,737210.507210648,737210.503738426,737210.500266204,737210.496793982,737210.493321759,737210.489849537,737210.486377315,737210.482905093,737210.47943287,737210.475960648,737210.472488426,737210.469016204,737210.465543982,737210.462071759,737210.458599537,737210.455127315,737210.451655093,,,,,,,,,,,,
737209.576585648,737209.573113426,737209.569641204,737209.566168981,737209.562696759,737209.559224537,737209.555740741,737209.552268518,737209.548796296,737209.545324074,737209.541851852,737209.53837963,737209.534907407,737209.531435185,737209.527962963,737209.524490741,737209.521018518,737209.517546296,737209.514074074,737209.510601852,737209.50712963,737209.503657407,737209.500185185,737209.496712963,737209.493240741,737209.489768518,737209.486296296,737209.482824074,737209.479351852,737209.47587963,,,,,,,,,,,,
737208.590428241,737208.586956018,737208.583483796,737208.580011574,737208.576539352,737208.57306713,737208.569594907,737208.566122685,737208.562650463,737208.559178241,737208.555706018,737208.552233796,737208.548761574,737208.545289352,737208.54181713,737208.538344907,737208.534872685,737208.531400463,737208.527928241,737208.524456018,737208.520983796,737208.517511574,737208.514039352,737208.51056713,737208.507094907,737208.503622685,737208.500150463,737208.496678241,737208.493206018,737208.489733796,,,,,,,,,,,,
737206.614594907,737206.611122685,737206.607650463,737206.604178241,737206.600706019,737206.597233796,737206.593761574,737206.590289352,737206.58681713,737206.583344907,737206.579872685,737206.576400463,737206.572928241,737206.569456019,737206.565983796,737206.562511574,737206.559039352,737206.55556713,737206.552094907,737206.548622685,737206.545150463,737206.541678241,737206.538206019,737206.534733796,737206.531261574,737206.527789352,737206.52431713,737206.520844907,737206.517372685,737206.513900463,,,,,,,,,,,,
737201.646365741,737201.642893519,737201.639421296,737201.635949074,737201.632476852,737201.62900463,737201.625532407,737201.622060185,737201.618587963,737201.615115741,737201.611643519,737201.608171296,737201.604699074,737201.601226852,737201.59775463,737201.594282407,737201.590810185,737201.587337963,737201.583865741,737201.580393519,737201.576921296,737201.573449074,737201.569976852,737201.56650463,737201.563032407,737201.559560185,737201.556087963,737201.552615741,737201.549143519,737201.545671296,,,,,,,,,,,,
737199.597638889,737199.594166667,737199.590694444,737199.587222222,737199.58375,737199.580277778,737199.576805556,737199.573333333,737199.569861111,737199.566388889,737199.562916667,737199.559444444,737199.555972222,737199.5525,737199.549027778,737199.545555556,737199.542083333,737199.538611111,737199.535138889,737199.531666667,737199.528194444,737199.524722222,737199.52125,737199.517777778,737199.514305556,737199.510833333,737199.507361111,737199.503888889,737199.500416667,737199.496944444,,,,,,,,,,,,
737198.58369213,737198.580219907,737198.576747685,737198.573275463,737198.569803241,737198.566331018,737198.562858796,737198.559386574,737198.555914352,737198.55244213,737198.548969907,737198.545497685,737198.542025463,737198.538553241,737198.535081018,737198.531608796,737198.528136574,737198.524664352,737198.52119213,737198.517719907,737198.514247685,737198.510775463,737198.507303241,737198.503831018,737198.500358796,737198.496886574,737198.493414352,737198.48994213,737198.486469907,737198.482997685,,,,,,,,,,,,
