cgmDatenum_ 1,cgmDatenum_ 2,cgmDatenum_ 3,cgmDatenum_ 4,cgmDatenum_ 5,cgmDatenum_ 6,cgmDatenum_ 7,cgmDatenum_ 8,cgmDatenum_ 9,cgmDatenum_10,cgmDatenum_11,cgmDatenum_12,cgmDatenum_13,cgmDatenum_14,cgmDatenum_15,cgmDatenum_16,cgmDatenum_17,cgmDatenum_18,cgmDatenum_19,cgmDatenum_20,cgmDatenum_21,cgmDatenum_22,cgmDatenum_23,cgmDatenum_24,cgmDatenum_25,cgmDatenum_26,cgmDatenum_27,cgmDatenum_28,cgmDatenum_29,cgmDatenum_30,cgmDatenum_31
737144.647384259,737144.643912037,737144.640439815,737144.636967593,737144.63349537,737144.630023148,737144.626550926,737144.623078704,737144.619606482,737144.616134259,737144.612662037,737144.609189815,737144.605717593,737144.60224537,737144.598773148,737144.595300926,737144.591828704,737144.588356482,737144.584884259,737144.581412037,737144.577939815,737144.574467593,737144.57099537,737144.567523148,737144.564050926,737144.560578704,737144.557106482,737144.553634259,737144.550162037,737144.546689815,
737140.646678241,737140.643206018,737140.639733796,737140.636261574,737140.632789352,737140.62931713,737140.625844907,737140.622372685,737140.618900463,737140.615428241,737140.611956018,737140.608483796,737140.605011574,737140.601539352,737140.59806713,737140.594594907,737140.591122685,737140.587650463,737140.584178241,737140.580706018,737140.577233796,737140.573761574,737140.570289352,737140.56681713,737140.563344907,737140.559872685,737140.556400463,737140.552928241,737140.549456018,737140.545983796,
737138.688194444,737138.684722222,737138.68125,737138.677777778,737138.674305556,737138.670833333,737138.667361111,737138.663888889,737138.660416667,737138.656944444,737138.653472222,737138.65,737138.646527778,737138.643055556,737138.639583333,737138.636111111,737138.632638889,737138.629166667,737138.625694444,737138.622222222,737138.61875,737138.615277778,737138.611805556,737138.608333333,737138.604861111,737138.601388889,737138.597916667,737138.594444444,737138.590972222,737138.5875,
737137.527719907,737137.524247685,737137.520775463,737137.517303241,737137.513831018,737137.510358796,737137.506886574,737137.503414352,737137.49994213,737137.496469907,737137.492997685,737137.489525463,737137.486053241,737137.482581018,737137.479108796,737137.475636574,737137.472164352,737137.46869213,737137.465219907,737137.461747685,737137.458275463,737137.454803241,737137.451331018,737137.447858796,737137.444386574,737137.440914352,737137.43744213,737137.433969907,737137.430497685,737137.427025463,
737135.572731482,737135.569259259,737135.565787037,737135.562314815,737135.558842593,737135.55537037,737135.551898148,737135.548425926,737135.544953704,737135.541481482,737135.538009259,737135.534537037,737135.531064815,737135.527592593,737135.52412037,737135.520648148,737135.517175926,737135.513703704,737135.510231482,737135.506759259,737135.503287037,737135.499814815,737135.496342593,737135.49287037,737135.489398148,737135.485925926,737135.482453704,737135.478981482,737135.475509259,737135.472037037,
737133.600347222,737133.596875,737133.593402778,737133.589930556,737133.586458333,737133.582986111,737133.579513889,737133.576041667,737133.572569444,737133.569097222,737133.565625,737133.562152778,737133.558680556,737133.555208333,737133.551736111,737133.548263889,737133.544791667,737133.541319444,737133.537847222,737133.534375,737133.530902778,737133.527430556,737133.523958333,737133.520486111,737133.517013889,737133.513541667,737133.510069444,737133.506597222,737133.503125,737133.499652778,
737132.587337963,737132.583865741,737132.580393519,737132.576921296,737132.573449074,737132.569976852,737132.56650463,737132.563032407,737132.559560185,737132.556087963,737132.552615741,737132.549143519,737132.545671296,737132.542199074,737132.538726852,737132.53525463,737132.531782407,737132.528310185,737132.524837963,737132.521365741,737132.517893519,737132.514421296,737132.510949074,737132.507476852,737132.50400463,737132.500532407,737132.497060185,737132.493587963,737132.490115741,737132.486643519,
737128.568993056,737128.565520833,737128.562048611,737128.558576389,737128.555104167,737128.551631944,737128.548159722,737128.5446875,737128.541215278,737128.537743056,737128.534270833,737128.530798611,737128.527326389,737128.523854167,737128.520381944,737128.516909722,737128.5134375,737128.509965278,737128.506493056,737128.503020833,737128.499548611,737128.496076389,737128.492604167,737128.489131944,737128.485659722,737128.4821875,737128.478715278,737128.475243056,737128.471770833,737128.468298611,
737127.558518518,737127.555046296,737127.551574074,737127.548101852,737127.54462963,737127.541157407,737127.537685185,737127.534212963,737127.530740741,737127.527268518,737127.523796296,737127.520324074,737127.516851852,737127.51337963,737127.509907407,737127.506435185,737127.502962963,737127.499490741,737127.496018518,737127.492546296,737127.489074074,737127.485601852,737127.48212963,737127.478657407,737127.475185185,737127.471712963,737127.468240741,737127.464768518,737127.461296296,737127.457824074,
737125.584016204,737125.580543982,737125.577071759,737125.573599537,737125.570127315,737125.566655093,737125.56318287,737125.559710648,737125.556238426,737125.552766204,737125.549293982,737125.545821759,737125.542349537,737125.538877315,737125.535405093,737125.53193287,737125.528460648,737125.524988426,737125.521516204,737125.518043982,737125.514571759,737125.511099537,737125.507627315,737125.504155093,737125.50068287,737125.497210648,737125.493738426,737125.490266204,737125.486793982,737125.483321759,
